Unnamed: 0,l1_noisy,l2_noisy,err_l1_noisy,err_l2_noisy
45,[0.9802768],[0.00328893],[1.9723177],[3.3249128]
46,[0.9860355],[0.00308583],[1.3964474],[3.0558603]
47,[0.9925437],[0.00328538],[0.74563026],[3.2132773]
48,[0.994809],[0.00337859],[0.5191028],[6.141549]
49,[0.990212],[0.00338529],[0.9787977],[6.351998]
50,[0.98920166],[0.00311747],[1.0798335],[2.0618732]
51,[0.99160576],[0.0031104],[0.83942413],[2.2838197]
52,[0.9886018],[0.00349455],[1.1398196],[9.784654]
0,[0.9841],[0.00342764],[1.5900016],[7.682331]
1,[0.9768902],[0.00356136],[2.3109794],[11.883466]
2,[0.9823914],[0.00363378],[1.7608583],[14.158684]
3,[0.9801435],[0.00334302],[1.9856513],[5.024187]
4,[0.98750323],[0.00338484],[1.249677],[6.337902]
5,[0.97260475],[0.00362014],[2.7395248],[13.730057]
6,[0.9871427],[0.00343687],[1.2857318],[7.972471]
7,[1.0030174],[0.00344362],[0.30174255],[8.184595]
8,[0.98921573],[0.00363093],[1.0784268],[14.069176]
9,[0.9603074],[0.00245301],[3.969258],[22.936382]
10,[0.9806612],[0.00355476],[1.9338787],[11.676185]
11,[0.9840682],[0.00334698],[1.5931785],[5.148352]
12,[0.9793693],[0.00343582],[2.0630717],[7.939476]
13,[0.9940673],[0.00364065],[0.5932689],[14.374399]
14,[0.97862947],[0.00339631],[2.137053],[6.698117]
15,[0.9825589],[0.00370344],[1.7441094],[16.347004]
16,[0.9781859],[0.0036252],[2.1814108],[13.889061]
17,[0.9916183],[0.00355056],[0.83817244],[11.544252]
18,[0.9895703],[0.00342667],[1.042968],[7.652093]
19,[0.9898243],[0.00345364],[1.0175705],[8.499414]
20,[1.0014247],[0.00313322],[0.14246702],[1.5670998]
21,[0.9838389],[0.00346996],[1.6161084],[9.0120945]
22,[0.9839154],[0.00351617],[1.6084611],[10.463886]
23,[0.9916052],[0.00353838],[0.8394778],[11.16137]
